Katana ID (required),Material name,Category,Unit of measure,Purchase UoM,Conversion rate,Sell?,Batch trackable?,Default supplier,Variant code,Material variant,Default sales price,Default lead time,Default storage bin,MOQ,Location,Safety stock,Additional info,Website Name
21562115,A - Agora 1004 BRUMA Grafito,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1004,A - Agora 1004 BRUMA Grafito,,,,,FAM,0,,Agora® 1004 BRUMA GRAFITO
21562116,A - Agora 1007 BRUMA Niebla,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1007,A - Agora 1007 BRUMA Niebla,,,,,FAM,0,,Agora® 1007 BRUMA NIEBLA
21562117,A - Agora 1009 BRUMA Nuez,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1009,A - Agora 1009 BRUMA Nuez,,,,,FAM,0,,Agora® 1009 BRUMA NUEZ
21562118,A - Agora 1013 BRUMA Coral,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1013,A - Agora 1013 BRUMA Coral,,,,,FAM,0,,Agora® 1013 BRUMA CORAL
21562119,A - Agora 1016 BRUMA Oliva,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1016,A - Agora 1016 BRUMA Oliva,,,,,FAM,0,,Agora® 1016 BRUMA OLIVA
21562120,A - Agora 1020 BRUMA Agua,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1020,A - Agora 1020 BRUMA Agua,,,,,FAM,0,,
21562121,A - Agora 1021 BRUMA Nieve,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1021,A - Agora 1021 BRUMA Nieve,,,,,FAM,0,,Agora® 1021 BRUMA NIEVE
21562122,A - Agora 1022 BRUMA Avena,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1022,A - Agora 1022 BRUMA Avena,,,,,FAM,0,,Agora® 1022 BRUMA AVENA
21562123,A - Agora 1029 SENDA Grafito,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1029,A - Agora 1029 SENDA Grafito,,,,,FAM,0,,Agora® 1029 SENDA GRAFITO
21562124,A - Agora 1032 SENDA Niebla,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1032,A - Agora 1032 SENDA Niebla,,,,,FAM,0,,Agora® 1032 SENDA NIEBLA
